21;The Lord of the Rings: The Return of the King;2003;English;84;Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.;3h 21m;ADVENTURE,FANTASY,ACTION
22;Seven Samurai;1954;Japanese;84;A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.;3h 27m;ACTION,DRAMA
23;One Flew Over the Cuckoo's Nest;1975;English;84;While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.;2h 13m;DRAMA
24;Once Upon a Time in America;1984;English;84;A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.;3h 49m;DRAMA,CRIME
25;GoodFellas;1990;English;84;The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.;2h 25m;DRAMA,CRIME
26;Cinema Paradiso;1988;Italian;84;A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.;2h 4m;DRAMA,ROMANCE
27;Harakiri;1962;Japanese;84;Aging samurai Hanshiro Tsugumo arrives at the home of Kageyu Saito and asks to commit a ritual suicide on the property, which Saito thinks is a ploy to gain pity and a job. Saito tells Tsugumo of another samurai, Motome Chijiiwa, who threatened suicide as a stratagem, only to be forced to follow through on the task. When Tsugumo reveals that Chijiiwa was his son-in-law, the disclosure sets off a fierce conflict.;2h 15m;ACTION,DRAMA,HISTORY
28;City Lights;1931;English;84;City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl.;1h 27m;COMEDY,DRAMA,ROMANCE
29;The Good, the Bad and the Ugly;1966;Italian;84;While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.;2h 41m;WESTERN
30;Whiplash;2014;English;84;Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.;1h 47m;DRAMA,MUSIC
31;Neon Genesis Evangelion: The End of Evangelion;1997;Japanese;84;The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.;1h 27m;DRAMA,SCIENCE FICTION,ANIMATION
32;Black Mirror: White Christmas;2014;English;84;In a mysterious and remote snowy outpost, Matt and Potter share a Christmas meal, swapping creepy tales of their earlier lives in the outside world, but are both men who they appear to be?;1h 14m;DRAMA,MYSTERY,SCIENCE FICTION,THRILLER,TV MOVIE
33;The Great Dictator;1940;English;84;Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.;2h 5m;COMEDY
34;Sunset Boulevard;1950;English;84;A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.;1h 50m;DRAMA
35;Investigation of a Citizen Above Suspicion;1970;Italian;84;A chief of detectives, homicide section, commits a murder and deliberately leaves clues to prove his own responsibility for the crime.;1h 55m;DRAMA,CRIME
36;Howl's Moving Castle;2004;Japanese;83;When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking home.;1h 59m;FANTASY,ANIMATION,ADVENTURE
37;Doctor Who: The Day of the Doctor;2013;English;83;In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion. All of reality is at stake as the Doctor's own dangerous past comes back to haunt him.;1h 17m;SCIENCE FICTION,ADVENTURE
38;American History X;1998;English;83;Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.;1h 59m;DRAMA
39;Princess Mononoke;1997;Japanese;83;Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.;2h 14m;ADVENTURE,FANTASY,ANIMATION
40;City of God;2002;Portuguese;83;Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiro’s most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life of various characters, all seen by the point of view of the narrator, Buscapé. Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes...;2h 10m;DRAMA,CRIME
41;The Empire Strikes Back;1980;English;83;The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.;2h 4m;ADVENTURE,ACTION,SCIENCE FICTION
42;Sherlock: The Final Problem;2017;English;83;Long buried secrets finally come to light as someone has been playing a very long game indeed. Sherlock and John face their greatest ever challenge. Is the game finally over?;1h 30m;DRAMA,MYSTERY
43;My Friends;1975;Italian;83;Like in many other Monicelli movies, the main theme of Amici miei is friendship, seen from a rather bitter point of view. It tells the story of four middle-aged friends in Florence who organize together idle pranks (called zingarate, "gypsy shenanigans") in a continuous attempt to prolong childhood during their adult life.;2h 20m;COMEDY
44;The Best of Youth;2003;Italian;83;Spanning four decades, from the chaotic 1960s to the present, director Marco Tullio Giordana's passionate epic 'La Meglio Gioventu' follows two Italian brothers through some of the most tumultuous events of recent Italian history.;6h 6m;DRAMA
45;Ikiru;1952;Japanese;83;Mr. Watanabe suddenly finds that he has terminal cancer. He vows to make his final days meaningful. His attempts to communicate his anguish to his son and daughter-in-law lead only to heartbreak. Finally, inspired by an unselfish co-worker, he turns his efforts to bringing happiness to others by building a playground in a dreary slum neighborhood. When the park is finally completed, he is able to face death with peaceful acceptance.;2h 23m;DRAMA
46;The Handmaiden;2016;Korean;83;1930s Korea, in the period of Japanese occupation, a young woman is hired as a handmaiden to a Japanese heiress who lives a secluded life on a large countryside estate with her domineering uncle. But, the maid has a secret: she is a pickpocket recruited by a swindler posing as a Japanese count to help him seduce the heiress to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until the women discover some unexpected emotions.;2h 25m;THRILLER,DRAMA,ROMANCE
47;In a Heartbeat;2017;English;83;A closeted boy runs the risk of being outed by his own heart after it pops out of his chest to chase down the boy of his dreams.;0h 4m;FAMILY,ANIMATION,ROMANCE,COMEDY
48;Dead Poets Society;1989;English;83;At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.;2h 8m;DRAMA
49;Mommy;2014;English;83;A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.;2h 19m;DRAMA
50;Paths of Glory;1957;English;83;During World War I, commanding officer General Broulard orders his subordinate, General Mireau, to attack a German trench position, offering a promotion as an incentive. Though the mission is foolhardy to the point of suicide, Mireau commands his own subordinate, Colonel Dax, to plan the attack. When it ends in disaster, General Mireau demands the court-martial of three random soldiers in order to save face.;1h 28m;DRAMA,WAR
51;Rear Window;1954;English;83;Professional photographer L.B. "Jeff" Jeffries breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.;1h 52m;DRAMA,MYSTERY,THRILLER
52;Witness for the Prosecution;1957;English;83;When Leonard Vole is arrested for the sensational murder of a rich, middle-aged widow, the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid, recovering from a near-fatal heart attack, is supposed to be on a diet of bland, civil suits—but the lure of the criminal courts is too much for him, especially when the case is so difficult.;1h 56m;DRAMA,MYSTERY,CRIME
53;Tokyo Story;1953;Japanese;83;The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.;2h 14m;DRAMA
54;Léon: The Professional;1994;French;83;Léon, the top hit man in New York, has earned a rep as an effective "cleaner". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.;1h 51m;THRILLER,CRIME,DRAMA
55;Call Me by Your Name;2017;English;83;Elio Perlman is spending the summer with his family at their vacation home in Lombardy, Italy. When his father hires a handsome doctoral student, the curious 17-year-old finds himself developing a growing attraction to the young man.;2h 12m;ROMANCE,DRAMA
56;Il Sorpasso;1962;Italian;83;Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer. Along the way, they end up knowing each other and entering each other's lives. A twist at the end puts everything into perspective.;1h 45m;DRAMA,COMEDY
57;The Legend of 1900;1998;Italian;83;The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.;2h 50m;DRAMA,MUSIC,ROMANCE
58;Andrei Rublev;1966;Russian;83;An expansive Russian drama, this film focuses on the life of revered religious icon painter Andrei Rublev. Drifting from place to place in a tumultuous era, the peace-seeking monk eventually gains a reputation for his art. But after Rublev witnesses a brutal battle and unintentionally becomes involved, he takes a vow of silence and spends time away from his work. As he begins to ease his troubled soul, he takes steps towards becoming a painter once again.;3h 26m;DRAMA,HISTORY
59;Modern Times;1936;English;83;The Tramp struggles to live in modern industrial society with the help of a young homeless woman.;1h 27m;DRAMA,COMEDY
60;Persona;1966;Swedish;83;A young nurse, Alma, is put in charge of Elisabeth Vogler: an actress who is seemingly healthy in all respects, but will not talk. As they spend time together, Alma speaks to Elisabeth constantly, never receiving any answer. Alma eventually confesses her secrets to a seemingly sympathetic Elisabeth and finds that her own personality is being submerged into Elisabeth's persona.;1h 25m;DRAMA
61;Loving Vincent;2017;English;83;The film brings the paintings of Vincent van Gogh to life to tell his remarkable story. Every one of the 65,000 frames of the film is an oil-painting hand-painted by 125 professional oil-painters who travelled from all across the world to the Loving Vincent studios in Poland and Greece to be a part of the production. As remarkable as Vincent’s brilliant paintings are his passionate and ill-fated life and mysterious death.;1h 35m;ANIMATION,DRAMA,MYSTERY
62;High and Low;1963;Japanese;83;An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.;2h 22m;CRIME,DRAMA,MYSTERY,THRILLER
63;Se7en;1995;English;83;Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the "seven deadly sins" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.;2h 7m;CRIME,MYSTERY,THRILLER
64;The Pianist;2002;English;83;The true story of pianist Wladyslaw Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.;2h 30m;DRAMA,WAR
65;On My Skin;2018;Italian;83;The incredible true story behind the most controversial Italian court cases in recent years. Stefano Cucchi was arrested for a minor crime and mysteriously found dead during his detention. In one week's time, a family is changed forever.;1h 40m;DRAMA
66;The Lord of the Rings: The Fellowship of the Ring;2001;English;83;Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.;2h 58m;ADVENTURE,FANTASY,ACTION
67;Inception;2010;English;83;Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: "inception", the implantation of another person's idea into a target's subconscious.;2h 28m;ACTION,THRILLER,SCIENCE FICTION,MYSTERY,ADVENTURE
68;The Silence of the Lambs;1991;English;83;Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.;1h 59m;CRIME,DRAMA,THRILLER
69;Big Deal on Madonna Street;1958;Italian;83;Best friends Peppe and Mario are thieves, but they're not very good at it. Still, Peppe thinks that he's finally devised a master heist that will make them rich. With the help of some fellow criminals, he plans to dig a tunnel from a rented apartment to the pawnshop next door, where they can rob the safe. But his plan is far from foolproof, and the fact that no one in the group has any experience digging tunnels proves to be the least of their problems.;1h 31m;COMEDY,CRIME
70;Avengers: Infinity War;2018;English;83;As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.;2h 29m;ADVENTURE,ACTION,FANTASY
71;A Silent Voice;2016;Japanese;83;Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?;2h 10m;DRAMA,ANIMATION,ROMANCE
72;Love Exposure;2008;Japanese;82;The story of a teenage boy named Yu, who falls for Yoko, a girl he runs into while working as an `up-skirt' photographer in an offshoot of the porn industry. His attempts to woo her are complicated by a spot of cross-dressing - which convinces Yoko that she is lesbian - dalliances with kung-fu and crime, and a constant struggle with the guilt that's a legacy of his Catholic upbringing.;3h 57m;ACTION,COMEDY,DRAMA,ROMANCE
73;The Lord of the Rings: The Two Towers;2002;English;82;Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.;2h 59m;ADVENTURE,FANTASY,ACTION
74;Once Upon a Time in the West;1968;Italian;82;A widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.;2h 46m;WESTERN
75;The Intouchables;2011;French;82;A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.;1h 53m;DRAMA,COMEDY
76;The Kid;1921;English;82;Considered one of Charlie Chaplin's best films, The Kid also made a star of little Jackie Coogan, who plays a boy cared for by The Tramp when he's abandoned by his mother, Edna. Later, Edna has a change of heart and aches to be reunited with her son. When she finds him and wrests him from The Tramp, it makes for what turns out be one of the most heart-wrenching scenes ever included in a comedy.;1h 8m;COMEDY,DRAMA
77;The Invisible Guest;2016;Spanish; Castilian;82;"The Invisible Guest” turns on a young businessman who wakes up in a hotel room locked from the inside with the dead body of his lover next to him. He hires a prestigious lawyer, and over one night they work together to clarify what happened in a frenetic race against time.;1h 46m;MYSTERY,CRIME,THRILLER
78;Wonder;2017;English;82;The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.;1h 53m;DRAMA,FAMILY
79;Stalker;1979;Russian;82;Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A Stalker guides two men into the Zone, specifically to an area in which deep seeded desires are granted.;2h 43m;DRAMA,SCIENCE FICTION,THRILLER,MYSTERY
80;Bingo: The King of the Mornings;2017;Portuguese;82;1980s. Brazilian television exploding in color and auditorium programs not so politically correct. In the middle of this fervor, Augusto Mendes, a young rising actor, seeks his place in the sun. From porn studios to soap operas, he finally finds success and fame when he becomes "Bingo", a TV host clown from one of the audience leader TV shows for children. It turns out that behind the rice powder and red nose, nobody knows who he is.;1h 53m;COMEDY,DRAMA
81;I Corti;1996;Italian;82;The shorts of Aldo , Giovanni & Giacomo was the first theatrical show of the trio of comedians Aldo , Giovanni & Giacomo , with the participation of Marina Massironi . The show is the son of the fortunate trio 's holdings in television as Mai dire Gol, and shows such as The Circus by Paolo Rossi and on the head ! The short was recorded live at the Teatro Nuovo in Ferrara on 28 and 29 March 1996. Produced by Agidi , the theater director is entrusted to the change artist Arturo Brachetti .;2h 0m;
82;Back to the Future;1985;English;82;Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.;1h 56m;ADVENTURE,COMEDY,SCIENCE FICTION,FAMILY
83;Bad Seeds;2018;French;82;Wael, a former street child, makes a living from small scams with his adoptive mother and partner-in-crime Monique. When this unconventional duo swindles the wrong guy, Victor, an old acquaintance of Monique now in charge of a support organization for troubled teens, they have no choice but to become his interim secretary and educator in order to redeem themselves.;1h 40m;COMEDY
84;Hotarubi no Mori e;2011;Japanese;82;One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...;0h 45m;ROMANCE,ANIMATION,FANTASY
85;Interstellar;2014;English;82;Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.;2h 49m;ADVENTURE,DRAMA,SCIENCE FICTION
86;Come and See;1985;Russian;82;The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.;2h 17m;DRAMA,HISTORY,WAR
87;The Apartment;1960;English;82;Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.;2h 5m;COMEDY,DRAMA,ROMANCE
